species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,transverse,10,1052.58,1.9307,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,177.484,0.648444,176.835,0.485855,4.85855,10,8,7,0.288708,0.197147,43.1804,-0.542644,43.7231,0.168337,0.186364,0.223119,0.18179,
horse,545.18,transverse,10,1211.93,2.223,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,180.53,0.652639,179.878,0.484889,4.84889,10,8,7,0.288152,0.196737,39.8716,-2.3353,42.2069,0.168815,0.186602,0.222892,0.182015,
horse,545.18,transverse,10,1395.41,2.55955,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,183.445,0.655498,182.789,0.484118,4.84118,10,8,7,0.287673,0.196445,36.6065,-3.98935,40.5958,0.169076,0.186811,0.222529,0.1824,
horse,545.18,transverse,10,1606.67,2.94705,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,186.489,0.656297,185.832,0.483396,4.83396,10,8,7,0.287246,0.196151,33.3804,-5.42493,38.8053,0.169454,0.186997,0.222286,0.182849,
horse,545.18,transverse,10,1849.92,3.39322,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,189.493,0.65545,188.837,0.482819,4.82819,10,8,7,0.28691,0.195909,30.2273,-6.62681,36.8541,0.169766,0.187084,0.222073,0.183353,
horse,545.18,transverse,10,2129.99,3.90694,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,38,181.516,0.647791,180.869,0.493857,4.93857,10,8,7,0.294137,0.19972,24.2224,-14.0112,38.2335,0.169767,0.1876,0.217059,0.180524,
horse,545.18,transverse,10,2452.46,4.49843,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,64,170.599,0.626688,169.973,0.529282,5.29282,10,8,7,0.320412,0.20887,27.5373,-22.0423,49.5796,0.172989,0.186689,0.207245,0.171739,
horse,545.18,transverse,10,2823.75,5.17947,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,83,163.369,0.680932,162.688,0.545281,5.45281,10,8,7,0.342187,0.203094,29.9244,-18.648,48.5724,0.191357,0.17407,0.197736,0.176234,
horse,545.18,transverse,10,3251.25,5.96362,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,9,162.054,0.653377,161.4,0.544856,5.44856,10,8,7,0.341221,0.203635,28.17,-17.456,45.6259,0.191027,0.173547,0.198623,0.176415,
horse,545.18,transverse,10,3743.47,6.86649,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,64,158.225,0.585024,157.64,0.532423,5.32423,10,8,7,0.347725,0.184698,26.0415,-18.2198,44.2613,0.206487,0.179741,0.192411,0.187676,
horse,545.18,transverse,10,4310.22,7.90604,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,35,156.687,0.560962,156.126,0.530544,5.30544,10,8,7,0.348857,0.181688,24.5579,-17.5533,42.1111,0.207348,0.180224,0.193219,0.189845,
horse,545.18,transverse,10,4962.76,9.10298,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,155.487,0.542836,154.944,0.528935,5.28935,10,8,7,0.347184,0.18175,22.9988,-16.0882,39.087,0.206099,0.179544,0.19388,0.190806,
horse,545.18,transverse,10,5714.1,10.4811,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,66,155.239,0.510286,154.729,0.524587,5.24587,10,8,7,0.343696,0.180891,20.8877,-14.2085,35.0962,0.204223,0.182089,0.196779,0.192269,
horse,545.18,transverse,10,6579.19,12.0679,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,47,153.441,0.497319,152.944,0.525638,5.25638,10,8,7,0.344347,0.181291,19.9754,-13.0569,33.0323,0.199989,0.177973,0.196807,0.194498,
horse,545.18,transverse,10,7575.25,13.895,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,24,152.636,0.483852,152.153,0.524683,5.24683,10,8,7,0.343267,0.181416,18.3057,-11.7652,30.0709,0.198851,0.177493,0.196696,0.195552,
horse,545.18,transverse,10,8722.11,15.9986,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,23,151.949,0.472527,151.476,0.52395,5.2395,10,8,7,0.342504,0.181447,16.6239,-10.4843,27.1082,0.198127,0.177264,0.196315,0.196518,
horse,545.18,transverse,10,10042.6,18.4207,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,29,151.313,0.455899,150.858,0.523198,5.23198,10,8,7,0.341378,0.18182,15.0872,-9.31759,24.4048,0.195796,0.176687,0.196688,0.197992,
horse,545.18,transverse,10,11563,21.2095,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,150.785,0.446429,150.339,0.522579,5.22579,10,8,7,0.340696,0.181882,13.6523,-8.18518,21.8375,0.195258,0.176537,0.196363,0.198609,
horse,545.18,transverse,10,13313.6,24.4205,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,23,150.278,0.434708,149.843,0.521784,5.21784,10,8,7,0.339593,0.182192,12.4575,-7.1916,19.6491,0.193775,0.176292,0.196011,0.199742,
horse,545.18,transverse,10,15329.2,28.1177,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,149.822,0.426502,149.395,0.521508,5.21508,10,8,7,0.339016,0.182492,11.3031,-6.28493,17.588,0.192328,0.175885,0.19634,0.200567,
horse,545.18,transverse,10,17650,32.3746,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,31,149.421,0.417573,149.004,0.520986,5.20986,10,8,7,0.338142,0.182844,10.2398,-5.49104,15.7308,0.19128,0.175677,0.196121,0.20113,
horse,545.18,transverse,10,20322.1,37.2759,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,10,149.067,0.409553,148.657,0.520618,5.20618,10,8,7,0.337173,0.183445,9.24341,-4.77879,14.0222,0.190138,0.175343,0.195887,0.201531,
horse,545.18,transverse,10,23398.8,42.9193,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,36,148.734,0.402605,148.331,0.520657,5.20657,10,8,7,0.336316,0.184342,8.36486,-4.17657,12.5414,0.188746,0.174862,0.195702,0.201873,
horse,545.18,transverse,10,26941.2,49.4171,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,21,148.449,0.394341,148.055,0.520017,5.20017,10,8,7,0.335294,0.184723,7.55779,-3.66983,11.2276,0.187933,0.174778,0.195485,0.20196,
horse,545.18,transverse,10,31020,56.8987,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,148.203,0.387672,147.815,0.519372,5.19372,10,8,7,0.334554,0.184818,6.79753,-3.22667,10.0242,0.187298,0.174829,0.195377,0.20217,
horse,545.18,transverse,10,35716.3,65.5129,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,147.991,0.381767,147.609,0.518915,5.18915,10,8,7,0.333854,0.185061,6.08995,-2.82206,8.91201,0.18674,0.174934,0.195108,0.202215,
horse,545.18,transverse,10,41123.6,75.4312,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,15,147.815,0.370762,147.444,0.518067,5.18067,10,8,7,0.332618,0.185449,5.42211,-2.48269,7.9048,0.18574,0.17495,0.195086,0.202078,
horse,545.18,transverse,10,47349.5,86.8511,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,34,147.594,0.357391,147.237,0.517542,5.17542,10,8,7,0.33054,0.187001,4.77519,-2.17093,6.94612,0.183284,0.174512,0.195416,0.201395,
horse,545.18,transverse,10,54518,100,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,147.48,0.352664,147.127,0.516805,5.16805,10,8,7,0.330018,0.186787,4.23545,-1.9013,6.13675,0.183133,0.174882,0.195328,0.201407,
